"Région","District","Catégorie","Sous-catégorie","Désignation","Valeur"
"LÔH-DJIBOUA","District du Gôh-Djiboua","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",221175
"BELIER","District du Bélier","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",185925
"IFFOU","District de l'Iffou","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",134725
"MORONOU","District du Moronou","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",176919
"N'ZI","District du N'Zi","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",95200
"GRANDS-PONTS","District des Grands-Ponts","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",137167
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",242621
"LA ME","District de La Mé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",178242
"TONKPI","District de Tonkpi","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",320639
"CAVALLY","District des Montagnes","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",198895
"GUEMON","District des Montagnes","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",130430
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",344683
"MARAHOUE","District du Sassandra-Marahoué","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",324095
"HAMBOL","District de la Vallée du Bandama","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",210657
"GBEKE","District de la Vallée du Bandama","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",297769
"BERE","District du Woroba","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",131643
"BAFING","District du Woroba","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",104590
"WORODOUGOU","District du Woroba","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",123396
"Autres","Autres","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités",738311
"KABADOUGOU","District du Denguélé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",4715
"FOLON","District du Denguélé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",2590
"PORO","District du Poro","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",7737
"BAGOUE","District du Bagoué","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",6946
"TCHOLOGO","District du Tchologo","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",8328
"BOUNKANI","District du Bounkani","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",5298
"GONTOUGO","District du Gontougo","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",9704
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",3959
